Subject_ID,Gender,Age,Easy_ teach,Familiar_w_tool,Self_Rating,Cooking Frequency,difficult_aspect,Handedness,overall_impression,use_system_frequently,system_too_complex,system_easy_to_use,need_technical_support,system_well_integrated,system_inconsistency,people_would_learn_to_use_this_system_quickly,system_cumbersome,confident_w_system,neeed_prior_learning,mental_demand,physical_demand,task_pace,successful_in_accomplishing_the_task,work_hard_for_your_level_of_performance,insecure_discouraged_irritated_stressed_annoyed
1,Female,22,5,1,5,Daily,robot_arm,Right,,Strongly disagree,Strongly agree,Neutral,Neutral,Strongly disagree,Strongly agree,Disagree,Agree,Disagree,Strongly agree,2,8,3,14,16,1
2,Male,26,5,1,4,Monthly,glove,Right,,Agree,Disagree,Agree,Agree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Strongly disagree,3,6,4,16,16,1
3,Male,31,4,1,3,Monthly,glove,Right,,Strongly disagree,Strongly agree,Disagree,Neutral,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Neutral,Agree,5,10,15,5,10,15
4,Male,29,2,3,4,Daily,robot_arm,Right,It was an easy task to do but harder to do on the robot.,Disagree,Neutral,Agree,Neutral,Agree,Strongly disagree,Agree,Neutral,Agree,Strongly disagree,3,14,3,3,3,1
5,Male,25,5,2,3,Never,tool,Right,The experiment was clear,Neutral,Strongly disagree,Agree,Disagree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Strongly disagree,1,1,1,16,5,1
6,Female,26,2,2,3,Weekly,robot_arm,Right,"It was easy to learn, but moving the arm was more difficult. Generally, it was comfortable to use the system.",Agree,Strongly disagree,Neutral,Agree,Agree,Strongly disagree,Agree,Disagree,Agree,Disagree,3,18,2,3,18,1
7,Female,27,1,2,3,Weekly,robot_arm,Right,It was good. I felt comfortable and it didn't take too much time.,Agree,Strongly disagree,Neutral,Agree,Agree,Strongly disagree,Agree,Disagree,Agree,Disagree,3,18,2,3,18,1
8,Male,28,1,3,4,Monthly,robot_arm,Right,I felt good at being able to teach a robot in such an easy way.,Agree,Strongly disagree,Strongly agree,Disagree,Agree,Strongly disagree,Strongly agree,Disagree,Strongly agree,Disagree,5,15,1,1,5,1
9,Female,29,3,2,4,Weekly,robot_arm,Right,"because of the glove , I had the feeling that I am doing something alien! but it was fun and a little painful (maybe because I have a very mild kind of inflammation in my fingers)",Neutral,Strongly disagree,Neutral,Disagree,Agree,Neutral,Strongly agree,Disagree,Neutral,Disagree,13,10,1,8,5,15
10,Male,29,1,5,4,Daily,glove,Right,It was nice and fast,Agree,Neutral,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Neutral,Strongly agree,Strongly disagree,10,10,1,2,1,1
