Subject_ID,Skill_Computed,Total_Time,Total_demos,Sgm_id,Sgm_Duration,Subsegments,RF_Passive,RF_Active,Var_Int_P_X,Var_Int_P_Y,Var_Int_P_Z,Var_Int_A_X,Var_Int_A_Y,Var_Int_A_Z,Stiff_P_X,Stiff_P_Y,Stiff_P_Z,Stiff_A_X,Stiff_A_Y,Stiff_A_Z,meanGQ_X,meanGQ_Y,meanGQ_Z,meanGQ_RX,meanGQ_RY,meanGQ_RZ,minGQ_X,minGQ_Y,minGQ_Z,minGQ_RX,minGQ_RY,minGQ_RZ,maxGQ_X,maxGQ_Y,maxGQ_Z,maxGQ_RX,maxGQ_RY,maxGQ_RZ,maxF_X,maxF_Y,maxF_Z,maxT_X,maxT_Y,maxT_Z
7,0,29.69,13,1,399,2,1,1,1,1,1,1,1,1,0.48386,0.74714,0.51273,0.3714,0.42314,0.52722,0.74005,0.46045,1.2178,0.32642,0.3209,0.47054,0.12603,0.094673,0.33962,0.0124,0.013936,0.01341,2.0664,1.0724,2.0504,1.1507,1.2706,1.6083,15.538,4.5268,13.658,1.0127,0.075947,0.066937
7,0,29.69,13,2,1600,3,1,3,2,3,2,2,3,2,0.40287,0.4924,0.52879,0.37242,0.66387,0.46063,0.99758,0.3518,1.1582,0.17639,0.19781,0.35186,0.075602,0.12298,0.091969,0.0051088,0.0054156,0.0036299,1.9894,1.2463,2.7127,0.5832,0.46654,1.0014,15.538,4.5268,13.658,1.0127,0.075947,0.066937
7,0,29.69,13,3,969,3,2,1,1,1,1,1,1,1,0.371,0.55021,0.48537,0.7002,0.44975,0.57405,0.22373,0.37004,0.94429,0.37521,0.50064,0.41827,0.071677,0.088212,0.14396,0.00095152,0.00093792,0.001483,0.76024,0.83308,1.2717,1.8206,1.9187,1.4485,15.538,4.5268,13.658,1.0127,0.075947,0.066937
8,1,12.55,20,1,199,2,2,3,1,1,1,1,1,1,0.31182,0.33118,0.42876,0.32372,0.44545,0.32303,0.77771,1.0949,0.79181,0.095468,0.09245,0.074007,0.090733,0.17058,0.118,0.00020755,0.00020807,0.00021059,1.9675,2.1913,2.5012,0.79333,0.57579,0.48208,14.354,7.1755,0.60122,0.9224,0.098966,0.0096709
8,1,12.55,20,2,400,1,1,1,3,3,3,2,3,2,0.44725,0.40389,0.34801,0.38296,0.46514,0.4087,0.64771,0.88207,0.68784,0.10241,0.055984,0.028098,0.16963,0.14984,0.13157,0.00076321,0.0013516,0.0017311,1.2081,1.9775,1.4563,0.95989,0.65243,0.16308,14.354,7.1755,0.60122,0.9224,0.098966,0.0096709
8,1,12.55,20,3,600,2,1,1,2,1,2,1,1,1,0.43408,0.42316,0.3698,0.38023,0.54072,0.6378,1.0743,1.042,0.74655,0.062716,0.10149,0.092693,0.28196,0.27667,0.28249,0.0015083,0.0022379,0.0020157,2.036,3.2918,1.3667,0.2579,1.1129,0.54841,14.354,7.1755,0.60122,0.9224,0.098966,0.0096709
9,0,19.87,20,1,199,1,2,1,1,1,1,1,1,1,0.55093,0.57781,0.57516,0.60974,0.5898,0.45075,1.1294,1.0025,0.10585,0.16346,0.16293,0.15385,0.15111,0.039005,0.035644,0.0065657,0.0048181,0.0039969,3.6801,4.2085,0.40469,0.41991,0.967,0.48648,10.326,9.4028,2.9633,1.134,0.6059,0.02058
9,0,19.87,20,2,800,2,2,3,2,3,2,1,1,2,0.57604,0.37204,0.30433,0.43318,0.59287,0.40045,0.96454,0.70432,0.096382,0.14395,0.095303,0.1109,0.20887,0.038489,0.029324,0.0059123,0.0047651,0.0024903,2.55,3.1431,0.251,0.51007,0.4659,0.61125,10.326,9.4028,2.9633,1.134,0.6059,0.02058
9,0,19.87,20,3,980,1,1,1,1,1,1,1,1,1,0.59051,0.65777,0.51865,0.52131,0.67655,0.63906,1.1349,1.542,0.2654,0.1892,0.13104,0.17259,0.062654,0.095868,0.027911,0.0002665,0.00026136,0.00056401,3.8693,3.699,1.3519,0.62155,0.74865,0.67908,10.326,9.4028,2.9633,1.134,0.6059,0.02058
10,1,11.88,15,1,199,1,1,1,1,1,1,1,1,1,0.3902,0.36695,0.29839,0.6575,0.60843,0.48486,1.1558,1.3053,0.55437,0.11435,0.11748,0.13921,0.15748,0.052695,0.098091,0.0096418,0.01465,0.0035848,3.2115,4.9906,1.7459,0.36727,0.29927,1.0179,22.279,31.535,9.0418,3.6891,0.080781,0.027012
