Subject_ID,Skill_Hand,Skill_Computed,Sgm_ID,Dem,GQ_X,GQ_Y,GQ_Z,GQ_RX,GQ_RY,GQ_RZ,avg_F_X,avg_F_Y,avg_F_Z,avg_T_X,avg_T_Y,avg_T_Z,max_F_X,max_F_Y,max_F_Z,max_T_X,max_T_Y,max_T_Z,Pressure_Thumb,Pressure_Index,Pressure_Middle,Pressure_Ring,Pressure_Pinky,Pressure_Palm,max_subsegments,subsegm_X,subsegm_Y,subsegm_Z,avg_VR_Skill,avg_VR_TaskPace,avg_VR_pbCoord,avg_VR_pbGrasp,avg_VR_pbMove,avg_VR_EstimatedFT
7,0,0,2,1,1.3382,0.16476,1.9098,0.0051088,0.0054156,0.0050486,4.3968,5.6349,4.7654,0.29374,-0.63256,-0.20865,14.229,10.771,17.11,1.1051,0.091591,-0.13934,0.25,30.75,17.5,1.4167,4.6667,8.4444,15,12,15,12,1,1,1,0,1,2
7,0,0,2,2,1.46,0.19479,2.7127,0.21084,0.3617,0.26291,2.9767,2.6283,3.4374,0.17184,-0.49036,-0.11007,18.162,9.9103,16.934,1.3163,0.074325,-0.051744,0,7.3333,1.25,0.25,5.5833,1.3289,15,12,15,12,2,2,1,0,1,2
7,0,0,2,3,1.306,0.12298,0.5187,0.16479,0.23608,0.17484,1.1207,-1.4284,-0.13605,0.089227,-0.36092,0.02597,15.409,4.066,12.603,1.1153,0.075536,0.075488,0.5,69.333,128,19.25,10.667,36.511,15,12,15,12,2,2,1,0,1,3
7,0,0,2,4,0.17718,0.17447,0.091969,0.0098547,0.00674,0.0071362,2.5289,-3.7094,-0.11028,-0.011523,-0.47488,0.077164,15.695,2.2003,13.117,0.86283,-0.00025081,0.11915,10,89,99,9.6667,15.25,22.267,15,12,15,12,2,2,1,0,1,2
7,0,0,2,5,1.9,1.2463,1.6266,0.24831,0.25276,0.86284,4.2644,-2.8217,-0.11223,0.12774,-0.70154,0.090794,15.727,4.3145,9.8597,1.1787,0.0088822,0.16892,0,8.8333,2.5,0.5,3.8333,2.1447,15,12,15,12,2,2,0,0,1,2
7,0,0,2,6,0.35477,0.65155,1.7054,0.0088339,0.0092484,0.0036299,5.4392,-2.6446,-1.1238,0.18344,-0.79081,0.13444,18.042,3.9045,10.668,1.1233,0.087227,0.21883,0.1875,45.083,5.5833,2.75,9.8333,2.0921,15,12,15,12,3,2,0,0,1,2
7,0,0,2,7,0.075602,0.13715,0.83354,0.30253,0.39743,0.68996,5.635,-4.3472,-1.4075,0.11046,-0.7755,0.1775,17.33,0.24173,10.196,0.7669,0.084854,0.22231,0.25,3.25,9,0.25,1.3125,1.1447,15,12,15,12,1,2,1,0,1,3
7,0,0,2,8,0.18355,0.16395,0.67352,0.044747,0.044051,0.32235,6.445,-6.0291,0.07064,0.15037,-0.79544,0.16022,21.566,-1.1492,11.07,1.2022,0.10564,0.22223,0,7.5,0.91667,0.91667,1.4167,1.0395,15,12,15,12,1,1,1,1,1,2
7,0,0,2,9,1.1912,0.51986,0.52323,0.5832,0.46654,1.0014,6.1942,-5.0392,0.8843,0.17763,-0.964,0.089946,19.503,0.29398,12.519,1.0956,0.088646,0.20538,0.33333,87.333,121.08,9,9,27.511,15,12,15,12,3,2,0,0,1,2
8,1,0,2,1,0.25923,0.14984,1.4563,0.0044936,0.0092941,0.0086354,-2.3403,10.159,3.219,0.54208,0.1357,-0.46845,10.126,20.789,5.4042,1.8627,0.3171,-0.44644,0.33333,141,127.5,8.5833,14.333,10.156,12,12,6,7,3,2,0,0,1,2
8,1,0,2,2,0.73547,0.22426,0.77243,0.019382,0.018166,0.016412,-0.084069,5.9789,-0.51218,0.35553,-0.19556,-0.30163,14.539,15.982,2.9898,1.5234,0.23134,-0.25889,0,43.583,61.083,6.9167,1.8333,9.6,12,12,6,7,4,2,0,0,1,2
8,1,0,2,3,0.539,1.4654,0.73259,0.3123,0.020279,0.021026,1.3107,4.0249,-1.1903,0.26625,-0.28451,-0.21337,17.165,10.168,2.034,0.9985,0.19656,-0.14181,3.5,53.75,69.75,16.833,2.6667,16.822,12,12,6,7,3,2,0,0,0,2
8,1,0,2,4,1.1538,1.9775,0.13157,0.010496,0.0080884,0.02326,0.92415,2.312,-2.9275,0.12825,-0.23131,-0.13317,11.829,5.1384,1.6517,0.56228,0.15314,-0.083122,0,39.813,46.25,19.667,1.5,14.511,12,12,6,7,4,2,0,0,0,2
8,1,0,2,5,0.34031,0.21604,1.0943,0.014288,0.07024,0.011798,0.90753,2.9847,-1.2187,0.32695,-0.1791,-0.11702,11.063,11.561,0.90577,1.2615,0.12381,-0.064533,1.5,93.667,56.667,13.167,6.5833,15.067,12,12,6,7,4,2,0,0,0,2
8,1,0,2,6,0.59592,1.4962,0.55627,0.95989,0.021081,0.029296,1.1138,1.5162,-1.4115,0.19216,-0.21195,-0.057091,13.957,8.3681,0.84825,1.0508,0.10336,-0.027879,5,86.75,72.167,15.5,2.9167,13.489,12,12,6,7,3,2,0,0,0,1
8,1,0,2,7,1.2081,0.85144,1.4348,0.01305,0.01235,0.012438,1.4961,0.33096,-2.0519,0.04976,-0.26013,-0.034812,15.921,2.9005,0.41227,0.36233,0.11058,-0.0077606,2,86.667,68.167,27.833,3.6667,23.067,12,12,6,7,4,2,0,0,1,2
8,1,0,2,8,1.1929,0.96918,1.2178,0.18574,0.16303,0.16308,0.81414,0.25051,-1.2394,0.12301,-0.15882,-0.0029677,12.022,8.2918,1.7071,0.97576,0.088847,0.036735,0.25,43.25,51.583,13.75,2.5833,18.156,12,12,6,7,4,2,0,0,0,2
8,1,0,2,9,0.82162,1.5491,0.39711,0.015269,0.013477,0.016295,1.5074,0.67597,-3.3848,0.15919,-0.24552,-0.0039731,11.815,8.1491,0.14232,1.123,0.1233,0.048779,2.4167,48.25,83.75,17.5,9.5,15.044,12,12,6,7,4,2,0,0,0,2
8,1,0,2,10,0.3784,1.1393,0.73255,0.0066451,0.0059503,0.00579,0.97001,-0.014804,-1.7663,0.092265,-0.15992,0.024499,11.412,7.2503,0.10023,1.0393,0.058333,0.044092,2.4167,59.167,102.25,12.583,7.1667,11.178,12,12,6,7,3,2,0,0,0,1
8,1,0,2,11,1.0331,0.45342,0.55874,0.094964,0.013013,0.012221,2.3578,0.33688,-2.2685,0.18379,-0.33326,0.043588,16.275,9.7841,-0.22697,1.3429,0.049664,0.082561,2.25,10.5,24.917,4.25,0.625,0.88158,12,12,6,7,3,3,0,0,0,1
8,1,0,2,12,0.38607,0.64525,0.28553,0.00076321,0.0017354,0.0017311,3.0816,-1.2194,-2.2555,0.055572,-0.44265,0.041005,18.18,4.273,-0.12371,0.7396,0.058485,0.088127,1,115.83,112.92,13,8.25,17.311,12,12,6,7,3,2,0,0,0,2
8,1,0,2,13,0.77148,1.6092,0.56922,0.023396,0.011089,0.011058,2.7393,-1.2414,-2.205,0.013115,-0.37603,0.053318,14.549,2.3276,-0.11286,0.50118,0.057838,0.090542,3,44.813,81.667,28.25,0.9375,15.533,12,12,6,7,4,2,0,0,0,2
8,1,0,2,14,1.1701,0.30641,0.7498,0.0038057,0.0013516,0.0037624,1.8142,-1.3126,-1.8228,0.024417,-0.2947,0.058023,14.968,3.2281,-0.12806,0.61343,0.047805,0.092288,5,122.58,101.25,17,5.5833,15.8,12,12,6,7,3,2,0,0,0,2
8,1,0,2,15,0.43533,0.31738,0.8367,0.010392,0.015613,0.010277,3.5345,0.37834,-5.8585,0.23471,-0.41835,0.061011,15.053,9.9647,-0.53183,1.3937,0.031412,0.096933,0.91667,76.5,67.25,10.833,4.1667,12.022,12,12,6,7,4,2,0,0,0,2
8,1,0,2,16,0.35193,0.4385,0.18448,0.0070553,0.027379,0.025211,2.4315,-1.5913,-2.3008,0.013034,-0.39622,0.064729,16.246,1.887,-0.38504,0.47053,0.04369,0.10955,0.83333,119.5,115.58,16.5,4.3333,12.711,12,12,6,7,4,2,0,0,0,2
8,1,0,2,17,0.16963,0.55148,0.7132,0.024391,0.023642,0.015681,3.6529,-1.7461,-4.0792,-0.024477,-0.48844,0.055104,15.117,1.9146,-0.51344,0.43816,0.029996,0.11323,0.83333,127.25,82.167,10.417,7.5,12.422,12,12,6,7,3,2,0,0,1,2
8,1,0,2,18,0.55426,1.2948,0.60062,0.019632,0.018669,0.017284,2.6481,-0.82508,-3.6042,0.11055,-0.31763,0.070563,15.946,5.7151,-0.70929,0.92676,0.12252,0.12326,3.4167,136.75,106.08,20.083,1.25,14.822,12,12,6,7,4,2,0,0,0,2
8,1,0,2,19,0.19507,1.0098,0.32712,0.013685,0.012798,0.011793,2.5529,-2.0316,-3.1556,-0.013918,-0.34111,0.10898,15.895,2.7401,-0.61232,0.60621,0.023027,0.1384,2.0833,130.58,98.917,16.583,2.1667,8.9333,12,12,6,7,3,2,0,0,0,2
8,1,0,2,20,0.66238,0.97694,0.40573,0.30848,0.65243,0.14492,2.1979,-2.7683,-5.7132,-0.060289,-0.34003,0.11796,14.996,3.0775,-0.82765,0.65589,0.008519,0.15935,0,51.5,65.583,7,2.5833,6.9333,12,12,6,7,4,3,0,0,1,2
