Subject_ID,Skill_Hand,Skill_Computed,Scooped_Weight,Total_Time,Total_demos,Sgm_id,Sgm_Duration,Subsegments,RF_Passive,RF_Active,Var_Int_P_X,Var_Int_P_Y,Var_Int_P_Z,Var_Int_A_X,Var_Int_A_Y,Var_Int_A_Z,Stiff_P_X,Stiff_P_Y,Stiff_P_Z,Stiff_A_X,Stiff_A_Y,Stiff_A_Z,meanGQ_X,meanGQ_Y,meanGQ_Z,meanGQ_RX,meanGQ_RY,meanGQ_RZ,minGQ_X,minGQ_Y,minGQ_Z,minGQ_RX,minGQ_RY,minGQ_RZ,maxGQ_X,maxGQ_Y,maxGQ_Z,maxGQ_RX,maxGQ_RY,maxGQ_RZ,maxF_X,maxF_Y,maxF_Z,maxT_X,maxT_Y,maxT_Z,VR_Overall_skill,VR_Improve_over_trials,VR_Manage_Setup,Gender,Age,Easy teach,Familiar_w_tool,Self_Rating,Cooking_Frequency,difficult_aspect,Handedness,overall_impression,use_system_frequently,system_too_complex,system_easy_to_use,need_technical_support,system_well_integrated,system_inconsistency,people_would_learn_to_use_this_system_quickly,system_cumbersome,confident_w_system,neeed_prior_learning,TLX_mental_demand,TLX_physical_demand,TLX_task_pace,TLX_success,TLX_Effort,TLX_Stress
7,0,0,153,29.69,13,3,969,3,2,1,1,1,1,1,1,1,0.371,0.55021,0.48537,0.7002,0.44975,0.57405,0.22373,0.37004,0.94429,0.37521,0.50064,0.41827,0.071677,0.088212,0.14396,0.00095152,0.00093792,0.001483,0.76024,0.83308,1.2717,1.8206,1.9187,1.4485,15.538,4.5268,13.658,1.0127,0.075947,0.066937,3,1,1,2,27,1,2,3,2,1,1,1,4,1,3,4,4,1,4,2,4,2,3,18,2,3,18,1
8,1,0,160,12.55,20,3,600,2,1,1,2,1,2,1,1,1,0.43408,0.42316,0.3698,0.38023,0.54072,0.6378,1.0743,1.042,0.74655,0.062716,0.10149,0.092693,0.28196,0.27667,0.28249,0.0015083,0.0022379,0.0020157,2.036,3.2918,1.3667,0.2579,1.1129,0.54841,14.354,7.1755,0.60122,0.9224,0.098966,0.0096709,4,2,1,1,28,1,3,4,3,1,1,1,4,1,5,2,4,1,5,2,5,2,5,15,1,1,5,1
9,0,0,130,19.87,20,3,980,1,1,1,1,1,1,1,1,1,0.59051,0.65777,0.51865,0.52131,0.67655,0.63906,1.1349,1.542,0.2654,0.1892,0.13104,0.17259,0.062654,0.095868,0.027911,0.0002665,0.00026136,0.00056401,3.8693,3.699,1.3519,0.62155,0.74865,0.67908,10.326,9.4028,2.9633,1.134,0.6059,0.02058,3,2,1,2,29,3,2,4,2,1,1,1,3,1,3,2,4,3,5,2,3,2,13,10,1,8,5,15
10,1,0,223,11.88,15,3,680,2,2,1,1,1,1,1,1,1,0.62159,0.35672,0.62578,0.58367,0.65441,0.77896,1.112,0.662,0.59209,0.10595,0.1385,0.15925,0.19604,0.1686,0.12244,0.00067319,0.0020033,0.0018835,2.8204,1.8046,2.0058,0.32263,0.57887,0.88024,22.279,31.535,9.0418,3.6891,0.080781,0.027012,4,1,1,1,29,1,5,4,1,2,1,1,4,3,5,1,5,1,5,3,5,1,10,10,1,2,1,1
11,0,0,80,9.91,20,3,290,2,1,3,1,1,1,1,1,1,0.3602,0.30056,0.25154,0.58735,0.52855,0.47634,0.19592,0.30147,0.58093,0.35897,0.5309,0.2568,0.077654,0.043776,0.050911,0.011939,0.017196,0.043273,0.81035,1.1418,2.4085,0.64822,1.4118,0.53475,11.81,20.009,2.7389,2.3638,0.25124,0.02686,3,1,1,1,28,3,1,3,1,1,1,1,2,2,4,2,3,3,5,4,4,1,7,1,3,10,15,1
13,1,1,200,10.49,12,3,540,1,2,3,1,1,1,1,1,1,0.37031,0.49428,0.3692,0.64577,0.57524,0.74068,1.4505,0.55951,0.62821,0.063293,0.14421,0.064526,0.19667,0.18436,0.23262,0.0095556,0.0019113,0.001959,3.0465,0.92975,1.0104,0.1289,0.46072,0.55933,26.629,25.95,0.84488,3.0762,0.11814,0.0085127,4,1,1,1,52,4,1,4,2,1,1,0,4,2,4,2,4,2,4,1,4,2,14,13,3,5,6,3
17,1,0,185,11.48,20,3,540,1,1,3,1,1,1,1,1,1,0.60323,0.79187,0.66243,0.55559,0.47032,0.49194,1.0796,0.71207,0.52455,0.094633,0.04855,0.065379,0.30699,0.1837,0.080067,3.2898e-05,2.7058e-05,2.526e-05,3.2771,1.5852,1.0179,0.63852,0.31029,0.45535,20.382,24.722,5.4003,2.7625,0.074681,0.0053593,3,1,1,1,35,1,3,4,2,1,1,1,5,2,4,2,3,3,4,4,4,2,5,7,3,2,3,2
18,1,1,197,14.12,11,3,600,1,2,1,1,1,1,1,1,1,0.63791,0.49452,0.666,0.50402,0.59434,0.7015,0.63719,0.87684,0.39481,0.084976,0.078139,0.10287,0.23858,0.41163,0.049877,0.0047819,0.0018997,0.0018507,1.2183,1.9744,0.85333,0.31026,0.36376,0.79112,15.868,18.826,1.019,2.1821,0.16199,0.024764,4,2,1,1,36,3,3,3,3,1,1,2,3,1,4,1,3,3,4,2,4,2,3,2,12,14,4,1
19,1,1,191,8.83,17,3,380,1,2,3,1,1,1,1,1,1,0.69074,0.57905,0.62362,0.6684,0.55646,0.47695,0.98932,0.79269,0.58897,0.047069,0.14189,0.28435,0.63066,0.53412,0.20211,0.0064849,0.0059945,0.0036418,1.3611,1.6839,1.3481,0.48144,0.95566,2.3752,11.674,15.134,6.4301,1.7722,0.10971,0.0074701,3,1,1,1,27,1,4,4,2,1,1,1,5,2,4,2,4,1,5,4,4,1,6,12,3,16,9,5
20,0,0,122,14.86,13,3,580,1,2,1,1,1,1,1,1,1,0.61144,0.63259,0.55352,0.59535,0.50224,0.38002,0.823,0.75462,0.38786,0.14872,0.16371,0.28764,0.18457,0.17733,0.1815,0.00051136,0.0017612,0.002452,1.7507,1.3492,0.75427,0.55017,0.39874,1.0459,8.6476,18.88,1.3787,2.2074,0.14398,0.0054855,3,1,1,1,28,1,2,2,2,1,1,1,4,2,5,1,4,1,5,1,4,2,10,12,1,14,1,3
