Subject_ID,Skill_Hand,Skill_Computed,Scooped_Weight,Total_Time,Total_demos,Sgm_id,Sgm_Duration,Subsegments,RF_Passive,RF_Active,Var_Int_P_X,Var_Int_P_Y,Var_Int_P_Z,Var_Int_A_X,Var_Int_A_Y,Var_Int_A_Z,Stiff_P_X,Stiff_P_Y,Stiff_P_Z,Stiff_A_X,Stiff_A_Y,Stiff_A_Z,meanGQ_X,meanGQ_Y,meanGQ_Z,meanGQ_RX,meanGQ_RY,meanGQ_RZ,minGQ_X,minGQ_Y,minGQ_Z,minGQ_RX,minGQ_RY,minGQ_RZ,maxGQ_X,maxGQ_Y,maxGQ_Z,maxGQ_RX,maxGQ_RY,maxGQ_RZ,maxF_X,maxF_Y,maxF_Z,maxT_X,maxT_Y,maxT_Z,VR_Overall_skill,VR_Improve_over_trials,VR_Manage_Setup,Gender,Age,Easy teach,Familiar_w_tool,Self_Rating,Cooking_Frequency,difficult_aspect,Handedness,overall_impression,use_system_frequently,system_too_complex,system_easy_to_use,need_technical_support,system_well_integrated,system_inconsistency,people_would_learn_to_use_this_system_quickly,system_cumbersome,confident_w_system,neeed_prior_learning,TLX_mental_demand,TLX_physical_demand,TLX_task_pace,TLX_success,TLX_Effort,TLX_Stress,NVR_Skill,NVR_Improve_over_trials,NVR_Manage_Setup,NVR_Grasp_Pb,NVR_Mov_Pb
7,0,0,153,29.69,13,2,1600,3,1,3,2,3,2,2,3,2,0.40287,0.4924,0.52879,0.37242,0.66387,0.46063,0.99758,0.3518,1.1582,0.17639,0.19781,0.35186,0.075602,0.12298,0.091969,0.0051088,0.0054156,0.0036299,1.9894,1.2463,2.7127,0.5832,0.46654,1.0014,15.538,4.5268,13.658,1.0127,0.075947,0.066937,3,1,1,2,27,1,2,3,2,1,1,1,4,1,3,4,4,1,4,2,4,2,3,18,2,3,18,1,0.5,1.5,2,0,1
8,1,0,160,12.55,20,2,400,1,1,1,3,3,3,2,3,2,0.44725,0.40389,0.34801,0.38296,0.46514,0.4087,0.64771,0.88207,0.68784,0.10241,0.055984,0.028098,0.16963,0.14984,0.13157,0.00076321,0.0013516,0.0017311,1.2081,1.9775,1.4563,0.95989,0.65243,0.16308,14.354,7.1755,0.60122,0.9224,0.098966,0.0096709,4,2,1,1,28,1,3,4,3,1,1,1,4,1,5,2,4,1,5,2,5,2,5,15,1,1,5,1,1,1.5,1,0,0.5
9,0,0,130,19.87,20,2,800,2,2,3,2,3,2,1,1,2,0.57604,0.37204,0.30433,0.43318,0.59287,0.40045,0.96454,0.70432,0.096382,0.14395,0.095303,0.1109,0.20887,0.038489,0.029324,0.0059123,0.0047651,0.0024903,2.55,3.1431,0.251,0.51007,0.4659,0.61125,10.326,9.4028,2.9633,1.134,0.6059,0.02058,3,2,1,2,29,3,2,4,2,1,1,1,3,1,3,2,4,3,5,2,3,2,13,10,1,8,5,15,0.5,1.5,1,0.5,0
10,1,0,223,11.88,15,2,300,1,2,3,2,3,3,2,2,3,0.47466,0.43754,0.37585,0.46988,0.4033,0.55191,1.3127,1.255,0.53997,0.03974,0.095079,0.055869,0.29263,0.083717,0.10923,0.00062997,0.00062458,0.00095837,2.8485,3.1227,2.7605,0.16786,0.4104,0.34012,22.279,31.535,9.0418,3.6891,0.080781,0.027012,4,1,1,1,29,1,5,4,1,2,1,1,4,3,5,1,5,1,5,3,5,1,10,10,1,2,1,1,1,1.5,1,0,0
11,0,0,80,9.91,20,2,600,3,1,1,3,3,3,3,2,2,0.60485,0.46025,0.494,0.46275,0.39709,0.35857,0.88996,1.4051,0.26387,0.39132,0.31332,0.21913,0,0,0,0.0053553,0.0051585,0.001829,2.6804,3.246,1.2705,1.0016,0.80953,0.57145,11.81,20.009,2.7389,2.3638,0.25124,0.02686,3,1,1,1,28,3,1,3,1,1,1,1,2,2,4,2,3,3,5,4,4,1,7,1,3,10,15,1,1,1,1,0.5,0
13,1,1,200,10.49,12,2,400,1,1,1,3,2,2,2,3,2,0.3179,0.39737,0.36782,0.37763,0.44557,0.50151,1.3849,1.1032,0.38362,0.060349,0.12166,0.12262,0.13699,0.20028,0.01919,0.0011478,0.0011784,0.001287,2.5204,3.5928,1.2178,0.40113,1.0702,1.0699,26.629,25.95,0.84488,3.0762,0.11814,0.0085127,4,1,1,1,52,4,1,4,2,1,1,0,4,2,4,2,4,2,4,1,4,2,14,13,3,5,6,3,1,1.5,1,0,0.5
17,1,0,185,11.48,20,2,500,1,2,3,3,3,3,2,3,2,0.36552,0.39902,0.34881,0.30742,0.40385,0.27904,0.721,1.7228,0.5588,0.39011,0.20602,0.26056,0.18927,0.6659,0.14346,0.046159,0.025536,0.028622,1.6152,6.0204,1.3382,1.3221,0.42494,0.55755,20.382,24.722,5.4003,2.7625,0.074681,0.0053593,3,1,1,1,35,1,3,4,2,1,1,1,5,2,4,2,3,3,4,4,4,2,5,7,3,2,3,2,1,1,1.5,0,0.5
18,1,1,197,14.12,11,2,600,1,2,1,2,2,3,2,3,2,0.41379,0.45513,0.35695,0.40361,0.34689,0.31061,0.96758,0.80188,0.27235,0.28704,0.13423,0.21552,0.1891,0.032088,0.056801,0,0,0,2.1859,2.4318,0.80025,1.2391,0.28885,0.67214,15.868,18.826,1.019,2.1821,0.16199,0.024764,4,2,1,1,36,3,3,3,3,1,1,2,3,1,4,1,3,3,4,2,4,2,3,2,12,14,4,1,1,1.5,1.5,0,1
19,1,1,191,8.83,17,2,400,1,1,1,3,3,3,2,3,2,0.33523,0.55512,0.55106,0.37414,0.54801,0.28072,0.60898,0.44091,0.036477,0.20077,0.28449,0.27857,0,0,0,0.015617,0.014902,0.11953,1.3725,2.6365,0.18109,0.44006,0.70762,0.53709,11.674,15.134,6.4301,1.7722,0.10971,0.0074701,3,1,1,1,27,1,4,4,2,1,1,1,5,2,4,2,4,1,5,4,4,1,6,12,3,16,9,5,0.5,2,1.5,0,1
20,0,0,122,14.86,13,2,600,4,1,1,2,3,1,3,2,2,0.37973,0.33065,0.46258,0.36569,0.36867,0.29234,0.71657,1.8733,0.30685,0.15764,0.076828,0.12325,0.1747,0.21073,0.012073,0,0,0,2.1276,4.6377,0.91047,0.55489,0.39455,0.64846,8.6476,18.88,1.3787,2.2074,0.14398,0.0054855,3,1,1,1,28,1,2,2,2,1,1,1,4,2,5,1,4,1,5,1,4,2,10,12,1,14,1,3,1,1,1.5,0,0.5
